Image_Link,Species_Name,Common_Name
/afbid/search/browse/species/1898/28,Chalcomitra amethystina (3),Amethyst Sunbird
/afbid/search/browse/species/1900/28,Chalcomitra hunteri (4),Hunter's Sunbird
/afbid/search/browse/species/1899/28,Chalcomitra senegalensis (3),Scarlet-chested Sunbird
/afbid/search/browse/species/1440/28,Chamaetylas poliocephala (2),Brown-chested Alethe
/afbid/search/browse/species/502/28,Charadrius hiaticula (2),Common Ringed Plover
/afbid/search/browse/species/505/28,Charadrius tricollaris (2),Three-banded Plover
/afbid/search/browse/species/643/28,Chlidonias leucopterus (3),White-winged Tern
/afbid/search/browse/species/1283/28,Chlorocichla laetissima (4),Joyful Greenbul
/afbid/search/browse/species/1078/28,Chloropicus namaquus (2),Bearded Woodpecker
/afbid/search/browse/species/1080/28,Chloropicus xantholophus (1),Yellow-crested Woodpecker
/afbid/search/browse/species/606/28,Chroicocephalus cirrocephalus (5),Grey-headed Gull
/afbid/search/browse/species/775/28,Chrysococcyx caprius (3),Diederik Cuckoo
/afbid/search/browse/species/772/28,Chrysococcyx cupreus (1),African Emerald Cuckoo
/afbid/search/browse/species/1371/28,Cichladusa arquata (1),Collared Palm Thrush
/afbid/search/browse/species/1373/28,Cichladusa guttata (3),Spotted Palm Thrush
/afbid/search/browse/species/144/28,Ciconia abdimii (1),Abdim's Stork
/afbid/search/browse/species/146/28,Ciconia ciconia (3),White Stork
/afbid/search/browse/species/145/28,Ciconia microscelis (2),African Woolly-necked Stork
/afbid/search/browse/species/2146/28,Cinnyricinclus leucogaster (3),Violet-backed Starling
/afbid/search/browse/species/1934/28,Cinnyris bifasciatus (3),Purple-banded Sunbird
/afbid/search/browse/species/1936/28,Cinnyris chalcomelas (1),Violet-breasted Sunbird
/afbid/search/browse/species/1932/28,Cinnyris erythrocercus (3),Red-chested Sunbird
/afbid/search/browse/species/1930/28,Cinnyris mariquensis (7),Marico Sunbird
/afbid/search/browse/species/1925/28,Cinnyris mediocris (7),Eastern Double-collared Sunbird
/afbid/search/browse/species/2799/28,Cinnyris melanogastrus (1),Gorgeous Sunbird
/afbid/search/browse/species/1933/28,Cinnyris nectarinioides (5),Black-bellied Sunbird
/afbid/search/browse/species/1928/28,Cinnyris pulchellus (2),Beautiful Sunbird
/afbid/search/browse/species/1922/28,Cinnyris reichenowi (5),Northern Double-collared Sunbird
/afbid/search/browse/species/1935/28,Cinnyris tsavoensis (3),Tsavo Sunbird
/afbid/search/browse/species/1943/28,Cinnyris venustus (18),Variable Sunbird
/afbid/search/browse/species/257/28,Circaetus cinereus (4),Brown Snake Eagle
/afbid/search/browse/species/258/28,Circaetus fasciolatus (1),Southern Banded Snake Eagle
/afbid/search/browse/species/255/28,Circaetus pectoralis (5),Black-chested Snake Eagle
/afbid/search/browse/species/267/28,Circus macrourus (4),Pallid Harrier
/afbid/search/browse/species/268/28,Circus pygargus (6),Montagu's Harrier
/afbid/search/browse/species/1641/28,Cisticola aberdare (4),Aberdare Cisticola
/afbid/search/browse/species/1650/28,Cisticola angusticauda (1),Long-tailed Cisticola
/afbid/search/browse/species/1629/28,Cisticola bodessa (1),Boran Cisticola
/afbid/search/browse/species/1659/28,Cisticola brunnescens (5),Pectoral-patch Cisticola
/afbid/search/browse/species/1619/28,Cisticola cantans (1),Singing Cisticola
/afbid/search/browse/species/1638/28,Cisticola carruthersi (1),Carruthers’s Cisticola
/afbid/search/browse/species/1628/28,Cisticola chiniana (5),Rattling Cisticola
/afbid/search/browse/species/1624/28,Cisticola chubbi (2),Chubb's Cisticola
